,country,year,season,territory
301,Turkey,1911,fall,"['BLA', 'Boh', 'Bul', 'Gal', 'Mos', 'Naf', 'Ser', 'Sev', 'Tun', 'Ukr', 'Vie']"
302,Turkey,1911,spring,"['BLA', 'Boh', 'Bud', 'Bul', 'Con', 'Gal', 'Mos', 'Sev', 'Tun', 'Ukr', 'WES']"
303,Turkey,1911,winter,"['BLA', 'Bud', 'Gal', 'Mos', 'Naf', 'Rum', 'Ser', 'Sev', 'Sil', 'Tun', 'Ukr']"
304,Turkey,1912,fall,"['BLA', 'Bud', 'Mos', 'Naf', 'Rum', 'Ser', 'Sev', 'Tun', 'Ukr']"
305,Turkey,1912,spring,"['BLA', 'Bud', 'Gal', 'Mos', 'Naf', 'Rum', 'Sev', 'Sil', 'Tun', 'Ukr']"
306,Turkey,1912,winter,"['BLA', 'Bud', 'Mos', 'Rum', 'Ser', 'Sev', 'Tun', 'Ukr', 'WES']"
307,Turkey,1913,fall,"['BLA', 'Bud', 'Bul', 'Gal', 'Rum', 'Sev', 'Tri', 'Tun', 'Ukr']"
308,Turkey,1913,spring,"['BLA', 'Bud', 'Con', 'Mos', 'Rum', 'Ser', 'Sev', 'Tun', 'Ukr', 'WES']"
309,Turkey,1913,winter,"['BLA', 'Bud', 'Bul', 'Gal', 'Rum', 'Sev', 'Tun', 'Tyr', 'Ukr']"
310,Turkey,1914,fall,"['BLA', 'Boh', 'Bud', 'Gal', 'Rum', 'Ser', 'Sev', 'Tun', 'Ukr']"
311,Turkey,1914,spring,"['BLA', 'Bud', 'Bul', 'Gal', 'Rum', 'Sev', 'Tun', 'Tyr', 'Ukr']"
312,Turkey,1914,winter,"['BLA', 'Bud', 'Bul', 'Gal', 'Ser', 'Sev', 'Tun', 'Tyr', 'Ukr']"
313,Turkey,1915,fall,"['Alb', 'Bud', 'Con', 'Rum', 'Sev', 'Tun', 'Tyr', 'Ukr']"
314,Turkey,1915,spring,"['BLA', 'Bud', 'Bul', 'Gal', 'Ser', 'Sev', 'Tun', 'Tyr', 'Ukr']"
315,Turkey,1915,winter,"['AEG', 'Bud', 'Gre', 'ION', 'Rum', 'Sev', 'Tri', 'Vie']"
316,Turkey,1916,fall,"['ADR', 'AEG', 'Alb', 'BLA', 'Bud', 'Bul', 'EAS', 'Rum', 'Sev', 'Tri', 'Vie']"
317,Turkey,1916,spring,"['AEG', 'Ank', 'Bud', 'Con', 'Gre', 'ION', 'Rum', 'Sev', 'Smy', 'Tri', 'Vie']"
318,Turkey,1916,winter,"['ADR', 'BLA', 'EAS', 'Gal', 'Gre', 'Rum', 'Sev', 'Tri', 'Tyr', 'Ukr', 'Vie']"
319,Turkey,1917,fall,"['ADR', 'Con', 'Gal', 'Gre', 'ION', 'Rum', 'Sev', 'Tri', 'Tyr', 'Ukr', 'Vie']"
320,Turkey,1917,spring,"['ADR', 'BLA', 'EAS', 'Gal', 'Gre', 'Rum', 'Sev', 'Tri', 'Tyr', 'Ukr', 'Vie']"
321,Turkey,1917,winter,"['ADR', 'AEG', 'Alb', 'Gal', 'ION', 'Rum', 'Sev', 'Tyr', 'Ukr', 'Ven', 'Vie']"
322,Turkey,1918,fall,"['ADR', 'AEG', 'Bul', 'Gal', 'ION', 'Pie', 'Rum', 'Sev', 'Tyr', 'TYS', 'Ukr', 'Vie']"
323,Turkey,1918,spring,"['ADR', 'AEG', 'Alb', 'Con', 'Gal', 'ION', 'Rum', 'Sev', 'Tyr', 'Ukr', 'Ven', 'Vie']"
324,Turkey,1918,winter,"['Apu', 'Gal', 'Gre', 'ION', 'LYO', 'Pie', 'Rum', 'Sev', 'Tyr', 'TYS', 'Ukr', 'Vie']"
325,Turkey,1919,fall,"['Gal', 'Gre', 'LYO', 'Nap', 'Pie', 'Rum', 'Sev', 'Tyr', 'TYS', 'Ukr', 'Vie', 'WES']"
326,Turkey,1919,spring,"['Apu', 'Gal', 'Gre', 'ION', 'LYO', 'Pie', 'Rum', 'Sev', 'Tyr', 'TYS', 'Ukr', 'Vie']"
327,Turkey,1919,winter,"['Bud', 'Gre', 'LYO', 'MAO', 'Nap', 'Pie', 'Rom', 'Rum', 'Sev', 'Tyr', 'Ukr', 'Vie']"
328,Turkey,1920,fall,"['AEG', 'Bud', 'Bul', 'Gre', 'ION', 'MAO', 'Pie', 'Rum', 'Sev', 'Tyr', 'TYS', 'Ukr', 'Vie', 'WES']"
329,Turkey,1920,spring,"['Bud', 'Con', 'Gre', 'LYO', 'MAO', 'Nap', 'Pie', 'Rom', 'Rum', 'Sev', 'Smy', 'Tyr', 'Ukr', 'Vie']"
330,Turkey,1920,winter,"['AEG', 'Bud', 'Gal', 'Gre', 'ION', 'MAO', 'Pie', 'Por', 'Rum', 'Sev', 'Tyr', 'TYS', 'Vie', 'WES']"
331,Turkey,1921,fall,"['AEG', 'Boh', 'Gal', 'Gre', 'ION', 'LYO', 'MAO', 'Pie', 'Rum', 'Sev', 'Spa', 'Tyr', 'TYS', 'Ukr', 'WES']"
332,Turkey,1921,spring,"['AEG', 'Bud', 'Con', 'Gal', 'Gre', 'ION', 'MAO', 'Pie', 'Por', 'Rum', 'Sev', 'Tyr', 'TYS', 'Vie', 'WES']"
333,Turkey,1921,winter,"['Gal', 'Gre', 'ION', 'LYO', 'Mar', 'Mun', 'Pie', 'Rum', 'Sev', 'Spa', 'Tun', 'Tyr', 'TYS', 'Ukr', 'WES']"
